借阅人,性别,DEPT,年级,类型
882,F,艺术学院,19,硕士
883,F,艺术学院,19,硕士
884,F,艺术学院,19,硕士
885,F,艺术学院,19,硕士
886,F,艺术学院,19,硕士
887,F,艺术学院,19,硕士
888,F,艺术学院,19,硕士
889,M,机械工程学院,20,硕士
890,M,机械工程学院,20,硕士
891,M,机械工程学院,20,硕士
892,M,机械工程学院,20,硕士
893,M,机械工程学院,20,硕士
894,F,机械工程学院,20,硕士
895,F,能源与环境学院,20,硕士
896,M,能源与环境学院,20,硕士
897,M,能源与环境学院,20,硕士
898,M,能源与环境学院,20,硕士
899,M,能源与环境学院,20,硕士
900,M,信息科学与工程学院,20,硕士
901,F,土木工程学院,20,硕士
902,M,土木工程学院,20,硕士
903,M,土木工程学院,20,硕士
904,M,土木工程学院,20,硕士
905,F,土木工程学院,20,硕士
906,M,土木工程学院,20,硕士
907,M,土木工程学院,20,硕士
908,M,电子科学与工程学院,20,硕士
909,M,电子科学与工程学院,20,硕士
910,M,自动化学院,20,硕士
911,M,自动化学院,20,硕士
912,M,自动化学院,20,硕士
913,M,计算机科学与工程学院,20,硕士
914,M,经济管理学院,20,硕士
915,M,经济管理学院,20,硕士
916,M,经济管理学院,20,硕士
917,M,经济管理学院,20,硕士
918,M,经济管理学院,20,硕士
919,M,经济管理学院,20,硕士
920,M,经济管理学院,20,硕士
921,F,经济管理学院,20,硕士
922,M,经济管理学院,20,硕士
923,M,电气工程学院,20,硕士
924,M,电气工程学院,20,硕士
925,M,电气工程学院,20,硕士
926,M,电气工程学院,20,硕士
927,F,外国语学院,20,硕士
928,F,外国语学院,20,硕士
929,F,化学化工学院,20,硕士
930,F,化学化工学院,20,硕士
931,M,化学化工学院,20,硕士
932,F,法学院,20,硕士
933,F,法学院,20,硕士
934,M,法学院,20,硕士
935,F,法学院,20,硕士
936,F,法学院,20,硕士
937,M,法学院,20,硕士
938,M,法学院,20,硕士
939,M,法学院,20,硕士
940,F,人文学院,20,硕士
941,F,人文学院,20,硕士
942,F,人文学院,20,硕士
943,F,人文学院,20,硕士
944,F,人文学院,20,硕士
945,F,人文学院,20,硕士
946,F,人文学院,20,硕士
947,F,人文学院,20,硕士
948,F,人文学院,20,硕士
949,F,人文学院,20,硕士
950,F,人文学院,20,硕士
951,F,人文学院,20,硕士
952,F,艺术学院,20,硕士
953,F,艺术学院,20,硕士
954,F,艺术学院,20,硕士
955,F,艺术学院,20,硕士
956,F,艺术学院,20,硕士
957,F,艺术学院,20,硕士
958,F,艺术学院,20,硕士
959,F,艺术学院,20,硕士
960,M,艺术学院,20,硕士
961,F,艺术学院,20,硕士
962,F,艺术学院,20,硕士
963,F,艺术学院,20,硕士
964,F,艺术学院,20,硕士
965,F,艺术学院,20,硕士
966,F,艺术学院,20,硕士
967,M,机械工程学院,21,硕士
968,F,机械工程学院,21,硕士
969,F,机械工程学院,21,硕士
970,M,机械工程学院,21,硕士
971,M,能源与环境学院,21,硕士
972,M,能源与环境学院,21,硕士
973,M,能源与环境学院,21,硕士
974,F,信息科学与工程学院,21,硕士
975,F,信息科学与工程学院,21,硕士
976,M,信息科学与工程学院,21,硕士
977,M,信息科学与工程学院,21,硕士
978,M,信息科学与工程学院,21,硕士
979,M,信息科学与工程学院,21,硕士
980,M,土木工程学院,21,硕士
981,M,土木工程学院,21,硕士
982,M,土木工程学院,21,硕士
983,M,数学学院,21,硕士
984,M,自动化学院,21,硕士
985,M,自动化学院,21,硕士
986,M,计算机科学与工程学院,21,硕士
987,M,计算机科学与工程学院,21,硕士
988,F,物理学院,21,硕士
989,M,经济管理学院,21,硕士
990,M,经济管理学院,21,硕士
991,F,经济管理学院,21,硕士
992,M,经济管理学院,21,硕士
993,M,经济管理学院,21,硕士
994,M,经济管理学院,21,硕士
995,M,经济管理学院,21,硕士
996,F,经济管理学院,21,硕士
997,M,电气工程学院,21,硕士
998,M,电气工程学院,21,硕士
999,M,电气工程学院,21,硕士
1000,M,外国语学院,21,硕士
1001,F,外国语学院,21,硕士
1002,F,外国语学院,21,硕士
1003,F,化学化工学院,21,硕士
1004,F,化学化工学院,21,硕士
1005,F,法学院,21,硕士
1006,M,法学院,21,硕士
1007,F,法学院,21,硕士
1008,F,法学院,21,硕士
1009,M,人文学院,21,硕士
1010,F,人文学院,21,硕士
1011,F,人文学院,21,硕士
1012,F,人文学院,21,硕士
1013,F,人文学院,21,硕士
1014,F,人文学院,21,硕士
1015,F,艺术学院,21,硕士
1016,F,艺术学院,21,硕士
1017,F,艺术学院,21,硕士
1018,F,艺术学院,21,硕士
1019,F,艺术学院,21,硕士
1020,M,机械工程学院,22,硕士
1021,M,机械工程学院,22,硕士
1022,M,机械工程学院,22,硕士
1023,M,机械工程学院,22,硕士
1024,M,机械工程学院,22,硕士
1025,M,机械工程学院,22,硕士
1026,M,机械工程学院,22,硕士
1027,M,机械工程学院,22,硕士
1028,M,机械工程学院,22,硕士
1029,M,机械工程学院,22,硕士
1030,M,能源与环境学院,22,硕士
1031,M,能源与环境学院,22,硕士
1032,F,能源与环境学院,22,硕士
1033,M,能源与环境学院,22,硕士
1034,M,能源与环境学院,22,硕士
1035,F,能源与环境学院,22,硕士
1036,F,能源与环境学院,22,硕士
1037,F,能源与环境学院,22,硕士
1038,M,信息科学与工程学院,22,硕士
1039,F,信息科学与工程学院,22,硕士
1040,M,信息科学与工程学院,22,硕士
1041,M,信息科学与工程学院,22,硕士
1042,M,信息科学与工程学院,22,硕士
1043,M,信息科学与工程学院,22,硕士
1044,M,信息科学与工程学院,22,硕士
1045,M,信息科学与工程学院,22,硕士
1046,M,信息科学与工程学院,22,硕士
1047,F,信息科学与工程学院,22,硕士
1048,M,信息科学与工程学院,22,硕士
1049,M,信息科学与工程学院,22,硕士
1050,F,信息科学与工程学院,22,硕士
1051,M,土木工程学院,22,硕士
1052,M,土木工程学院,22,硕士
1053,M,土木工程学院,22,硕士
1054,M,土木工程学院,22,硕士
1055,M,土木工程学院,22,硕士
1056,M,土木工程学院,22,硕士
1057,F,土木工程学院,22,硕士
1058,M,土木工程学院,22,硕士
1059,M,土木工程学院,22,硕士
1060,M,土木工程学院,22,硕士
1061,M,土木工程学院,22,硕士
1062,M,土木工程学院,22,硕士
1063,M,土木工程学院,22,硕士
1064,M,土木工程学院,22,硕士
1065,M,土木工程学院,22,硕士
1066,M,土木工程学院,22,硕士
1067,F,土木工程学院,22,硕士
1068,M,电子科学与工程学院,22,硕士
1069,M,电子科学与工程学院,22,硕士
1070,M,电子科学与工程学院,22,硕士
1071,F,电子科学与工程学院,22,硕士
1072,M,数学学院,22,硕士
1073,F,数学学院,22,硕士
1074,M,自动化学院,22,硕士
1075,M,计算机科学与工程学院,22,硕士
1076,M,计算机科学与工程学院,22,硕士
1077,M,计算机科学与工程学院,22,硕士
1078,F,计算机科学与工程学院,22,硕士
1079,F,物理学院,22,硕士
1080,F,经济管理学院,22,硕士
1081,M,经济管理学院,22,硕士
1082,F,经济管理学院,22,硕士
1083,F,经济管理学院,22,硕士
1084,F,经济管理学院,22,硕士
1085,M,经济管理学院,22,硕士
1086,M,经济管理学院,22,硕士
1087,F,经济管理学院,22,硕士
1088,F,经济管理学院,22,硕士
1089,F,经济管理学院,22,硕士
1090,M,经济管理学院,22,硕士
1091,F,电气工程学院,22,硕士
1092,M,电气工程学院,22,硕士
1093,F,外国语学院,22,硕士
1094,F,外国语学院,22,硕士
1095,F,外国语学院,22,硕士
1096,M,外国语学院,22,硕士
1097,F,外国语学院,22,硕士
1098,M,化学化工学院,22,硕士
1099,F,化学化工学院,22,硕士
1100,M,化学化工学院,22,硕士
1101,M,化学化工学院,22,硕士
1102,F,化学化工学院,22,硕士
1103,M,化学化工学院,22,硕士
1104,M,化学化工学院,22,硕士
1105,F,化学化工学院,22,硕士
1106,M,化学化工学院,22,硕士
1107,F,法学院,22,硕士
1108,M,法学院,22,硕士
1109,M,法学院,22,硕士
1110,F,法学院,22,硕士
1111,F,法学院,22,硕士
1112,M,法学院,22,硕士
1113,M,法学院,22,硕士
1114,F,人文学院,22,硕士
1115,F,人文学院,22,硕士
1116,F,人文学院,22,硕士
1117,F,人文学院,22,硕士
1118,F,人文学院,22,硕士
1119,F,人文学院,22,硕士
1120,F,人文学院,22,硕士
1121,F,人文学院,22,硕士
1122,F,艺术学院,22,硕士
1123,F,艺术学院,22,硕士
1124,F,艺术学院,22,硕士
1125,M,计算机科学与工程学院,22,硕士
1126,M,机械工程学院,23,硕士
1127,M,机械工程学院,23,硕士
1128,M,机械工程学院,23,硕士
1129,M,机械工程学院,23,硕士
1130,M,机械工程学院,23,硕士
1131,M,机械工程学院,23,硕士
1132,M,机械工程学院,23,硕士
1133,M,机械工程学院,23,硕士
1134,F,机械工程学院,23,硕士
1135,M,机械工程学院,23,硕士
1136,M,能源与环境学院,23,硕士
1137,M,能源与环境学院,23,硕士
1138,F,能源与环境学院,23,硕士
1139,F,能源与环境学院,23,硕士
1140,F,能源与环境学院,23,硕士
1141,F,能源与环境学院,23,硕士
1142,M,能源与环境学院,23,硕士
1143,M,能源与环境学院,23,硕士
1144,M,能源与环境学院,23,硕士
1145,M,能源与环境学院,23,硕士
1146,F,能源与环境学院,23,硕士
1147,M,能源与环境学院,23,硕士
1148,F,信息科学与工程学院,23,硕士
1149,F,信息科学与工程学院,23,硕士
1150,M,信息科学与工程学院,23,硕士
1151,F,信息科学与工程学院,23,硕士
1152,M,信息科学与工程学院,23,硕士
1153,M,信息科学与工程学院,23,硕士
1154,F,信息科学与工程学院,23,硕士
1155,F,信息科学与工程学院,23,硕士
1156,M,信息科学与工程学院,23,硕士
1157,M,土木工程学院,23,硕士
1158,M,土木工程学院,23,硕士
1159,M,土木工程学院,23,硕士
1160,M,土木工程学院,23,硕士
1161,F,土木工程学院,23,硕士
1162,F,土木工程学院,23,硕士
1163,M,土木工程学院,23,硕士
1164,M,土木工程学院,23,硕士
1165,M,土木工程学院,23,硕士
1166,M,土木工程学院,23,硕士
1167,F,土木工程学院,23,硕士
1168,F,土木工程学院,23,硕士
1169,F,土木工程学院,23,硕士
1170,M,电子科学与工程学院,23,硕士
1171,M,电子科学与工程学院,23,硕士
1172,M,电子科学与工程学院,23,硕士
1173,M,电子科学与工程学院,23,硕士
1174,M,数学学院,23,硕士
1175,M,数学学院,23,硕士
1176,F,数学学院,23,硕士
1177,F,数学学院,23,硕士
1178,F,自动化学院,23,硕士
1179,M,计算机科学与工程学院,23,硕士
1180,M,计算机科学与工程学院,23,硕士
1181,F,计算机科学与工程学院,23,硕士
1182,F,计算机科学与工程学院,23,硕士
1183,F,物理学院,23,硕士
1184,M,经济管理学院,23,硕士
1185,M,经济管理学院,23,硕士
1186,M,经济管理学院,23,硕士
1187,F,经济管理学院,23,硕士
1188,F,经济管理学院,23,硕士
1189,F,经济管理学院,23,硕士
1190,F,经济管理学院,23,硕士
1191,M,电气工程学院,23,硕士
1192,M,电气工程学院,23,硕士
1193,M,电气工程学院,23,硕士
1194,M,电气工程学院,23,硕士
1195,M,电气工程学院,23,硕士
1196,M,电气工程学院,23,硕士
1197,M,外国语学院,23,硕士
1198,F,化学化工学院,23,硕士
1199,F,法学院,23,硕士
1200,M,法学院,23,硕士
1201,M,法学院,23,硕士
1202,M,法学院,23,硕士
1203,M,法学院,23,硕士
1204,F,法学院,23,硕士
1205,F,法学院,23,硕士
1206,F,法学院,23,硕士
1207,F,法学院,23,硕士
1208,M,法学院,23,硕士
1209,F,法学院,23,硕士
1210,M,法学院,23,硕士
1211,F,人文学院,23,硕士
1212,F,人文学院,23,硕士
1213,M,人文学院,23,硕士
1214,F,艺术学院,23,硕士
1215,F,艺术学院,23,硕士
1216,F,艺术学院,23,硕士
1217,F,艺术学院,23,硕士
1218,F,艺术学院,23,硕士
1219,F,艺术学院,23,硕士
1220,M,艺术学院,23,硕士
1221,F,艺术学院,23,硕士
1222,F,艺术学院,23,硕士
1223,F,艺术学院,23,硕士
1224,F,艺术学院,23,硕士
1225,F,艺术学院,23,硕士
1226,F,艺术学院,23,硕士
1227,F,艺术学院,23,硕士
1228,F,艺术学院,23,硕士
1229,F,艺术学院,23,硕士
1230,F,艺术学院,23,硕士
1231,F,艺术学院,23,硕士
1232,F,艺术学院,23,硕士
1233,F,能源与环境学院,24,硕士
1234,F,能源与环境学院,24,硕士
1235,M,信息科学与工程学院,24,硕士
1236,F,信息科学与工程学院,24,硕士
1237,M,信息科学与工程学院,24,硕士
1238,M,信息科学与工程学院,24,硕士
1239,M,土木工程学院,24,硕士
1240,M,土木工程学院,24,硕士
1241,M,数学学院,24,硕士
1242,M,自动化学院,24,硕士
1243,M,计算机科学与工程学院,24,硕士
1244,F,经济管理学院,24,硕士
1245,M,经济管理学院,24,硕士
1246,M,外国语学院,24,硕士
1247,M,外国语学院,24,硕士
1248,M,化学化工学院,24,硕士
1249,M,化学化工学院,24,硕士
1250,M,法学院,24,硕士
1251,M,法学院,24,硕士
1252,F,人文学院,24,硕士
1253,M,人文学院,24,硕士
1254,F,人文学院,24,硕士
1255,F,人文学院,24,硕士
1256,M,人文学院,24,硕士
1257,F,艺术学院,24,硕士
1258,F,艺术学院,24,硕士
1259,F,艺术学院,24,硕士
1260,M,艺术学院,24,硕士
1261,F,艺术学院,24,硕士
1262,F,机械工程学院,18,博士
1263,F,能源与环境学院,18,博士
1264,F,电子科学与工程学院,18,博士
1265,F,经济管理学院,18,博士
1266,F,经济管理学院,18,博士
1267,F,人文学院,18,博士
1268,M,人文学院,18,博士
1269,M,艺术学院,18,博士
1270,M,机械工程学院,18,博士
1271,M,能源与环境学院,18,博士
1272,M,土木工程学院,18,博士
1273,M,化学化工学院,18,博士
1274,M,法学院,18,博士
1275,M,法学院,18,博士
1276,M,能源与环境学院,18,博士
1277,M,机械工程学院,19,博士
1278,M,土木工程学院,19,博士
1279,F,土木工程学院,19,博士
1280,M,电气工程学院,19,博士
1281,M,法学院,19,博士
1282,M,人文学院,19,博士
1283,F,人文学院,19,博士
1284,F,艺术学院,19,博士
1285,F,艺术学院,19,博士
1286,F,艺术学院,19,博士
1287,M,信息科学与工程学院,19,博士
1288,M,信息科学与工程学院,19,博士
1289,M,土木工程学院,19,博士
1290,M,土木工程学院,19,博士
1291,M,土木工程学院,19,博士
1292,M,土木工程学院,19,博士
1293,F,电子科学与工程学院,19,博士
1294,M,电子科学与工程学院,19,博士
1295,M,自动化学院,19,博士
1296,F,计算机科学与工程学院,19,博士
1297,F,物理学院,19,博士
1298,F,经济管理学院,19,博士
1299,M,法学院,19,博士
1300,F,法学院,19,博士
1301,M,法学院,19,博士
1302,M,人文学院,19,博士
1303,M,能源与环境学院,19,博士
1304,F,计算机科学与工程学院,19,博士
1305,M,电气工程学院,19,博士
1306,M,法学院,19,博士
1307,F,人文学院,19,博士
1308,F,艺术学院,19,博士
1309,F,艺术学院,19,博士
1310,M,能源与环境学院,19,博士
1311,M,计算机科学与工程学院,19,博士
1312,M,能源与环境学院,20,博士
1313,M,信息科学与工程学院,20,博士
1314,M,土木工程学院,20,博士
1315,M,土木工程学院,20,博士
1316,F,土木工程学院,20,博士
1317,F,数学学院,20,博士
1318,F,电气工程学院,20,博士
1319,F,人文学院,20,博士
1320,F,艺术学院,20,博士
1321,M,艺术学院,20,博士
1322,M,机械工程学院,20,博士
1323,M,机械工程学院,20,博士
1324,M,土木工程学院,20,博士
1325,M,土木工程学院,20,博士
1326,M,土木工程学院,20,博士
1327,M,人文学院,20,博士
1328,M,人文学院,20,博士
1329,M,艺术学院,20,博士
1330,F,经济管理学院,20,博士
1331,F,法学院,20,博士
1332,F,法学院,20,博士
1333,F,艺术学院,20,博士
1334,M,机械工程学院,21,博士
1335,M,信息科学与工程学院,21,博士
1336,F,经济管理学院,21,博士
1337,M,电气工程学院,21,博士
1338,M,机械工程学院,21,博士
1339,M,能源与环境学院,21,博士
1340,M,土木工程学院,21,博士
1341,M,自动化学院,21,博士
1342,M,计算机科学与工程学院,21,博士
1343,M,经济管理学院,21,博士
1344,M,法学院,21,博士
1345,F,艺术学院,21,博士
1346,F,能源与环境学院,21,博士
1347,F,法学院,21,博士
1348,M,机械工程学院,22,博士
1349,M,机械工程学院,22,博士
1350,M,机械工程学院,22,博士
1351,M,机械工程学院,22,博士
1352,M,机械工程学院,22,博士
1353,M,机械工程学院,22,博士
1354,M,能源与环境学院,22,博士
1355,M,信息科学与工程学院,22,博士
1356,M,土木工程学院,22,博士
1357,M,土木工程学院,22,博士
1358,F,土木工程学院,22,博士
1359,M,土木工程学院,22,博士
1360,M,土木工程学院,22,博士
1361,M,土木工程学院,22,博士
1362,F,数学学院,22,博士
1363,M,数学学院,22,博士
1364,M,物理学院,22,博士
1365,F,经济管理学院,22,博士
1366,M,经济管理学院,22,博士
1367,M,经济管理学院,22,博士
1368,F,经济管理学院,22,博士
1369,F,经济管理学院,22,博士
1370,F,电气工程学院,22,博士
1371,M,电气工程学院,22,博士
1372,F,外国语学院,22,博士
1373,F,外国语学院,22,博士
1374,F,外国语学院,22,博士
1375,M,外国语学院,22,博士
1376,F,法学院,22,博士
1377,F,法学院,22,博士
1378,F,法学院,22,博士
1379,M,法学院,22,博士
1380,M,法学院,22,博士
1381,F,人文学院,22,博士
1382,M,机械工程学院,22,博士
1383,M,机械工程学院,22,博士
1384,M,信息科学与工程学院,22,博士
1385,F,土木工程学院,22,博士
1386,M,数学学院,22,博士
1387,M,电气工程学院,22,博士
1388,F,机械工程学院,23,博士
1389,F,机械工程学院,23,博士
1390,F,能源与环境学院,23,博士
1391,F,信息科学与工程学院,23,博士
1392,M,信息科学与工程学院,23,博士
1393,M,信息科学与工程学院,23,博士
1394,M,土木工程学院,23,博士
1395,M,土木工程学院,23,博士
1396,M,土木工程学院,23,博士
1397,M,土木工程学院,23,博士
1398,F,数学学院,23,博士
1399,M,计算机科学与工程学院,23,博士
1400,F,经济管理学院,23,博士
1401,M,经济管理学院,23,博士
1402,F,经济管理学院,23,博士
1403,F,经济管理学院,23,博士
1404,F,经济管理学院,23,博士
1405,M,经济管理学院,23,博士
1406,M,电气工程学院,23,博士
1407,M,电气工程学院,23,博士
1408,M,外国语学院,23,博士
1409,M,化学化工学院,23,博士
1410,F,化学化工学院,23,博士
1411,M,法学院,23,博士
1412,M,法学院,23,博士
1413,F,法学院,23,博士
1414,F,法学院,23,博士
1415,M,法学院,23,博士
1416,F,人文学院,23,博士
1417,F,人文学院,23,博士
1418,F,艺术学院,23,博士
1419,F,艺术学院,23,博士
1420,M,艺术学院,23,博士
1421,M,机械工程学院,23,博士
1422,M,信息科学与工程学院,23,博士
1423,M,信息科学与工程学院,23,博士
1424,M,信息科学与工程学院,23,博士
1425,M,自动化学院,23,博士
1426,M,法学院,23,博士
1427,M,机械工程学院,24,博士
1428,M,能源与环境学院,24,博士
1429,M,能源与环境学院,24,博士
1430,M,信息科学与工程学院,24,博士
1431,M,信息科学与工程学院,24,博士
1432,F,土木工程学院,24,博士
1433,M,土木工程学院,24,博士
1434,M,土木工程学院,24,博士
1435,M,电子科学与工程学院,24,博士
1436,M,电子科学与工程学院,24,博士
1437,M,化学化工学院,24,博士
1438,F,化学化工学院,24,博士
1439,F,化学化工学院,24,博士
1440,F,人文学院,24,博士
1441,F,人文学院,24,博士
1442,M,人文学院,24,博士
1443,M,艺术学院,24,博士
1444,M,土木工程学院,24,博士
1445,M,土木工程学院,24,博士
1446,M,土木工程学院,24,博士
1447,M,外国语学院,24,博士
1448,M,法学院,24,博士
1449,M,艺术学院,24,博士
1450,F,机械工程学院,24,博士
1451,M,人文学院,24,博士
